ID, trksegID, lat, lon, ele, date
1,1,14.565729349851608,-91.144476709887385,1218.6099999999999,2018-08-04T17:38:46Z
2,1,14.565851138904691,-91.144495317712426,1219.089999999999918,2018-08-04T17:39:10Z
3,1,14.565802020952106,-91.14435232244432,1219.089999999999918,2018-08-04T17:39:37Z
4,1,14.565713508054614,-91.144228102639318,1219.569999999999936,2018-08-04T17:40:02Z
5,1,14.565529441460967,-91.144220642745495,1221.009999999999991,2018-08-04T17:40:26Z
6,1,14.565387200564146,-91.144170016050339,1220.049999999999955,2018-08-04T17:40:44Z
7,1,14.56534487195313,-91.144106313586235,1217.170000000000073,2018-08-04T17:40:55Z
8,1,14.56528720445931,-91.143974801525474,1217.170000000000073,2018-08-04T17:41:10Z
9,1,14.565230878069997,-91.143833063542843,1215.720000000000027,2018-08-04T17:41:28Z
10,1,14.565186705440283,-91.143770786002278,1218.6099999999999,2018-08-04T17:41:41Z
11,1,14.565133983269334,-91.143682356923819,1218.130000000000109,2018-08-04T17:41:59Z
12,1,14.564957292750478,-91.143775060772896,1216.690000000000055,2018-08-04T17:42:17Z
13,1,14.564898367971182,-91.143823675811291,1215.240000000000009,2018-08-04T17:42:28Z
14,1,14.564845729619265,-91.143889389932156,1214.759999999999991,2018-08-04T17:42:42Z
15,1,14.564854865893722,-91.143930461257696,1214.759999999999991,2018-08-04T17:43:01Z
16,1,14.564888896420598,-91.143842367455363,1214.279999999999973,2018-08-04T17:43:21Z
17,1,14.564862912520766,-91.143844965845346,1214.279999999999973,2018-08-04T17:43:44Z
18,1,14.564823852851987,-91.143890982493758,1214.279999999999973,2018-08-04T17:44:05Z
19,1,14.564794097095728,-91.143830632790923,1214.279999999999973,2018-08-04T17:44:24Z
20,1,14.564803820103407,-91.14378159865737,1214.279999999999973,2018-08-04T17:44:43Z
21,1,14.564780602231622,-91.143748657777905,1214.279999999999973,2018-08-04T17:44:58Z
22,1,14.564722180366516,-91.14363357424736,1212.839999999999918,2018-08-04T17:45:17Z
23,1,14.564665351063013,-91.143509019166231,1211.400000000000091,2018-08-04T17:45:32Z
24,1,14.564652778208256,-91.143462918698788,1210.920000000000073,2018-08-04T17:45:35Z
25,1,14.564624950289726,-91.143394187092781,1211.400000000000091,2018-08-04T17:45:51Z
26,1,14.564609527587891,-91.143359234556556,1211.400000000000091,2018-08-04T17:46:08Z
27,1,14.564620004966855,-91.143349260091782,1211.400000000000091,2018-08-04T17:46:25Z
28,1,14.564617741852999,-91.143415058031678,1211.880000000000109,2018-08-04T17:46:48Z
29,1,14.564621681347489,-91.143423859030008,1211.400000000000091,2018-08-04T17:47:07Z
30,1,14.564589494839311,-91.143529051914811,1211.400000000000091,2018-08-04T17:47:33Z
31,1,14.564549010246992,-91.143506336957216,1212.3599999999999,2018-08-04T17:47:53Z
32,1,14.56446292810142,-91.143612870946527,1211.880000000000109,2018-08-04T17:48:08Z
33,1,14.564437950029969,-91.143654780462384,1212.3599999999999,2018-08-04T17:48:27Z
34,1,14.564406182616949,-91.143633825704455,1215.240000000000009,2018-08-04T17:48:35Z
35,1,14.564355220645666,-91.14360666833818,1217.650000000000091,2018-08-04T17:48:49Z
36,1,14.56432219594717,-91.143597699701786,1221.009999999999991,2018-08-04T17:49:09Z
37,1,14.564293026924133,-91.143434923142195,1222.930000000000064,2018-08-04T17:49:26Z
38,1,14.564301911741495,-91.143272146582603,1224.8599999999999,2018-08-04T17:49:43Z
39,1,14.564300738275051,-91.143260411918163,1225.339999999999918,2018-08-04T17:49:46Z
40,1,14.564313981682062,-91.1432412173599,1224.8599999999999,2018-08-04T17:50:01Z
41,1,14.56431339494884,-91.143147172406316,1223.420000000000073,2018-08-04T17:50:15Z
42,1,14.564287327229977,-91.143095539882779,1222.930000000000064,2018-08-04T17:50:28Z
43,1,14.564260756596923,-91.143056144937873,1222.450000000000045,2018-08-04T17:50:52Z
44,1,14.564182301983237,-91.143283881247044,1222.450000000000045,2018-08-04T17:51:16Z
45,1,14.56411600112915,-91.143500553444028,1222.930000000000064,2018-08-04T17:51:47Z
46,1,14.564153635874391,-91.143339704722166,1221.970000000000027,2018-08-04T17:52:13Z
47,1,14.564146846532822,-91.143266698345542,1222.450000000000045,2018-08-04T17:52:34Z
48,1,14.564135866239667,-91.143221687525511,1221.970000000000027,2018-08-04T17:53:03Z
49,1,14.564160089939833,-91.143164271488786,1222.450000000000045,2018-08-04T17:53:31Z
50,1,14.564176769927144,-91.143327383324504,1221.970000000000027,2018-08-04T17:53:50Z
51,1,14.564174087718129,-91.143393013626337,1222.450000000000045,2018-08-04T17:54:25Z
52,1,14.564189929515123,-91.143014403060079,1222.450000000000045,2018-08-04T17:54:39Z
53,1,14.56400410272181,-91.143142227083445,1222.450000000000045,2018-08-04T17:55:03Z
54,1,14.564069481566548,-91.14309361204505,1222.930000000000064,2018-08-04T17:55:31Z
55,1,14.564101751893759,-91.143091935664415,1221.490000000000009,2018-08-04T17:55:54Z
56,1,14.564194707199931,-91.143085230141878,1219.569999999999936,2018-08-04T17:56:18Z
57,1,14.564256733283401,-91.143000153824687,1217.650000000000091,2018-08-04T17:56:40Z
58,1,14.564259080216289,-91.142957909032702,1216.690000000000055,2018-08-04T17:56:59Z
59,1,14.564281040802598,-91.142911305651069,1214.279999999999973,2018-08-04T17:57:16Z
60,1,14.564281376078725,-91.142873419448733,1212.839999999999918,2018-08-04T17:57:32Z
61,1,14.564311299473047,-91.142812063917518,1212.839999999999918,2018-08-04T17:57:53Z
